Id,Brand,Vehicle,Market,Page_URL,Chassi_model,Model,Engine,Engine_code,Prod period,Body,Body_code,Grade,Grade_code,Transm,Transm_code,Options
18,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,LN51L,LN51L-KRA,2L,2400CC DIESEL,08.1984 - 08.1985,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),STD,STANDARD TYPE,MTM,MANUAL TRANSMISSION,"{'4F': 'MTM, 4-SPEED FLOOR SHIFT', 'RCB': 'REGULAR CAB', 'G': 'G TYPE', 'HLF': '0.5TONS', 'ST': 'SINGLE TIRE', 'USA': 'UNITED STATES OF AMERICA', 'DSL': 'DIESEL', 'CBU': 'COMPLETELY BUILT UNIT'}"
19,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,LN51L,LN51L-KRA3,2L,2400CC DIESEL,08.1983 - 08.1984,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),STD,STANDARD TYPE,MTM,MANUAL TRANSMISSION,"{'4F': 'MTM, 4-SPEED FLOOR SHIFT', 'RCB': 'REGULAR CAB', 'G': 'G TYPE', 'HLF': '0.5TONS', 'ST': 'SINGLE TIRE', 'USA': 'UNITED STATES OF AMERICA', 'DSL': 'DIESEL', 'IV': 'INCOMPLETE VEHICLES (CHASSIS & CAB)'}"
20,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,LN56L,LN56L-MDA3,2L,2400CC DIESEL,08.1983 - 08.1985,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),DLX,DLX TYPE,MTM,MANUAL TRANSMISSION,"{'5F': 'MTM, 5-SPEED FLOOR SHIFT', 'RCB': 'REGULAR CAB', 'G': 'G TYPE', 'HLF': '0.5TONS', 'ST': 'SINGLE TIRE', 'USA': 'UNITED STATES OF AMERICA', 'DSL': 'DIESEL', 'IV': 'INCOMPLETE VEHICLES (CHASSIS & CAB)'}"
21,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,LN56L,LN56L-MDCA,2L,2400CC DIESEL,08.1984 - 08.1985,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),DLX,DLX TYPE,MTM,MANUAL TRANSMISSION,"{'5F': 'MTM, 5-SPEED FLOOR SHIFT', 'XTR': 'EXTRA CAB', 'G': 'G TYPE', 'HLF': '0.5TONS', 'ST': 'SINGLE TIRE', 'USA': 'UNITED STATES OF AMERICA', 'DSL': 'DIESEL', 'CBU': 'COMPLETELY BUILT UNIT'}"
22,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,LN56L,LN56L-MDCA3,2L,2400CC DIESEL,09.1983 - 08.1985,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),DLX,DLX TYPE,MTM,MANUAL TRANSMISSION,"{'5F': 'MTM, 5-SPEED FLOOR SHIFT', 'XTR': 'EXTRA CAB', 'G': 'G TYPE', 'HLF': '0.5TONS', 'ST': 'SINGLE TIRE', 'USA': 'UNITED STATES OF AMERICA', 'DSL': 'DIESEL', 'IV': 'INCOMPLETE VEHICLES (CHASSIS & CAB)'}"
23,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,LN56L,LN56L-MDCK,2L,2400CC DIESEL,09.1983 - 08.1985,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),DLX,DLX TYPE,MTM,MANUAL TRANSMISSION,"{'5F': 'MTM, 5-SPEED FLOOR SHIFT', 'XTR': 'EXTRA CAB', 'G': 'G TYPE', 'HLF': '0.5TONS', 'ST': 'SINGLE TIRE', 'CND': 'CANADA', 'DSL': 'DIESEL', 'CBU': 'COMPLETELY BUILT UNIT'}"
24,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,LN56L,LN56L-MDCXA3,2LT,2400CC DIESEL TURBO,08.1984 - 08.1985,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),DLX,DLX TYPE,MTM,MANUAL TRANSMISSION,"{'5F': 'MTM, 5-SPEED FLOOR SHIFT', 'XTR': 'EXTRA CAB', 'W': 'W TYPE TRANSMISSION', 'HLF': '0.5TONS', 'ST': 'SINGLE TIRE', 'USA': 'UNITED STATES OF AMERICA', 'TD': 'TURBO DIESEL', 'IV': 'INCOMPLETE VEHICLES (CHASSIS & CAB)'}"
25,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,LN56L,LN56L-MDK,2L,2400CC DIESEL,08.1983 - 08.1986,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),DLX,DLX TYPE,MTM,MANUAL TRANSMISSION,"{'5F': 'MTM, 5-SPEED FLOOR SHIFT', 'RCB': 'REGULAR CAB', 'G': 'G TYPE', 'HLF': '0.5TONS', 'ST': 'SINGLE TIRE', 'CND': 'CANADA', 'DSL': 'DIESEL', 'CBU': 'COMPLETELY BUILT UNIT'}"
26,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,LN56L,LN56L-MDXA3,2LT,2400CC DIESEL TURBO,08.1984 - 08.1985,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),DLX,DLX TYPE,MTM,MANUAL TRANSMISSION,"{'5F': 'MTM, 5-SPEED FLOOR SHIFT', 'RCB': 'REGULAR CAB', 'W': 'W TYPE TRANSMISSION', 'HLF': '0.5TONS', 'ST': 'SINGLE TIRE', 'USA': 'UNITED STATES OF AMERICA', 'TD': 'TURBO DIESEL', 'IV': 'INCOMPLETE VEHICLES (CHASSIS & CAB)'}"
27,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,LN56L,LN56L-MRK,2L,2400CC DIESEL,08.1986 - 08.1987,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),STD,STANDARD TYPE,MTM,MANUAL TRANSMISSION,"{'5F': 'MTM, 5-SPEED FLOOR SHIFT', 'RCB': 'REGULAR CAB', 'G': 'G TYPE', 'HLF': '0.5TONS', 'ST': 'SINGLE TIRE', 'CND': 'CANADA', 'DSL': 'DIESEL', 'CBU': 'COMPLETELY BUILT UNIT'}"
